Episode,Q_Reward,Q_Steps,Q_GoalRate,VI_Reward,VI_Steps,VI_GoalRate
1,-200,200,0.0,-200,200,0.0
2,-200,200,0.0,30,22,50.0
3,-200,200,0.0,52,22,66.7
4,-200,200,0.0,80,22,75.0
5,-292,200,0.0,56,22,80.0
6,-200,200,0.0,56,22,83.3
7,-200,200,0.0,112,22,85.7
8,-200,200,0.0,-200,200,75.0
9,-200,200,0.0,120,22,77.8
10,-200,200,0.0,77,22,80.0
11,-200,200,0.0,75,22,81.8
12,-200,200,0.0,50,22,83.3
13,-200,200,0.0,119,22,84.6
14,-200,200,0.0,38,22,85.7
15,-203,200,0.0,111,22,86.7
16,-200,200,0.0,39,22,87.5
17,-200,200,0.0,-200,200,82.4
18,-200,200,0.0,59,22,83.3
19,-464,200,0.0,69,22,84.2
20,-209,200,0.0,107,22,85.0
21,-200,200,0.0,97,22,85.7
22,-354,200,0.0,63,22,86.4
23,-200,200,0.0,101,22,87.0
24,-200,200,0.0,117,22,87.5
25,-200,200,0.0,88,22,88.0
26,-200,200,0.0,120,22,88.5
27,-200,200,0.0,45,22,88.9
28,-200,200,0.0,49,22,89.3
29,-356,200,0.0,53,22,89.7
30,-200,200,0.0,95,22,90.0
31,-200,200,0.0,76,22,90.3
32,-200,200,0.0,96,22,90.6
33,-200,200,0.0,70,24,90.9
34,-200,200,0.0,56,22,91.2
35,-200,200,0.0,79,22,91.4
36,-159,159,0.0,120,22,91.7
1,-200,200,0.0,79,22,100.0
2,-200,200,0.0,93,22,100.0
3,-200,200,0.0,101,22,100.0
4,-200,200,0.0,20,22,100.0
5,-214,200,0.0,108,22,100.0
6,-268,200,0.0,-200,200,83.3
7,-473,200,0.0,115,22,85.7
8,-200,200,0.0,120,22,87.5
9,-200,200,0.0,-200,200,77.8
10,-200,200,0.0,-38,24,80.0
11,-200,200,0.0,127,22,81.8
12,-200,200,0.0,-8,22,83.3
13,-200,200,0.0,112,22,84.6
14,-299,200,0.0,17,22,85.7
15,-200,200,0.0,76,24,86.7
16,-200,200,0.0,70,22,87.5
17,-200,200,0.0,-65,22,88.2
18,-200,200,0.0,78,22,88.9
19,-200,200,0.0,70,22,89.5
20,-200,200,0.0,77,22,90.0
21,-200,200,0.0,66,22,90.5
22,-378,200,0.0,88,22,90.9
23,-254,200,0.0,115,22,91.3
24,-200,200,0.0,46,26,91.7
25,-200,200,0.0,79,22,92.0
26,-200,200,0.0,67,22,92.3
27,-200,200,0.0,27,22,92.6
28,-208,200,0.0,78,24,92.9
29,-200,200,0.0,110,22,93.1
30,-205,200,0.0,47,22,93.3
31,-200,200,0.0,102,22,93.5
32,-200,200,0.0,103,24,93.8
33,-200,200,0.0,113,22,93.9
34,-200,200,0.0,34,22,94.1
35,-200,200,0.0,48,22,94.3
36,-200,200,0.0,46,22,94.4
37,-200,200,0.0,119,22,94.6
38,-200,200,0.0,-200,200,92.1
39,-332,200,0.0,9,22,92.3
40,-212,200,0.0,52,22,92.5
41,-200,200,0.0,83,22,92.7
42,-200,200,0.0,27,22,92.9
43,-200,200,0.0,51,22,93.0
44,-200,200,0.0,32,22,93.2
45,-200,200,0.0,117,22,93.3
46,-200,200,0.0,66,22,93.5
47,-200,200,0.0,84,22,93.6
48,-200,200,0.0,110,22,93.8
49,-320,200,0.0,66,22,93.9
50,-200,200,0.0,34,22,94.0
1,-200,200,0.0,128,22,100.0
2,-200,200,0.0,-200,200,50.0
3,-162,162,0.0,104,22,66.7
1,-205,200,0.0,54,22,100.0
2,-360,200,0.0,65,22,100.0
3,-200,200,0.0,99,22,100.0
4,-51,51,0.0,106,22,100.0
1,-209,200,0.0,0,22,100.0
2,-201,200,0.0,79,22,100.0
3,-214,200,0.0,80,22,100.0
4,-61,61,0.0,120,22,100.0
1,47,24,100.0,101,31,100.0
2,58,27,100.0,105,45,100.0
3,113,33,100.0,91,37,100.0
4,86,25,100.0,22,30,100.0
5,71,33,100.0,116,26,100.0
6,28,23,100.0,19,34,100.0
7,63,34,100.0,116,27,100.0
8,122,28,100.0,26,26,100.0
9,113,23,100.0,113,28,100.0
10,55,30,100.0,65,26,100.0
11,74,28,100.0,57,38,100.0
12,90,28,100.0,95,42,100.0
13,27,24,100.0,37,37,100.0
14,92,25,100.0,58,28,100.0
15,102,29,100.0,99,32,100.0
16,69,25,100.0,90,38,100.0
17,38,30,100.0,41,34,100.0
18,57,28,100.0,31,38,100.0
19,32,26,100.0,32,26,100.0
20,87,27,100.0,11,46,100.0
21,105,28,100.0,60,30,100.0
22,96,22,100.0,74,24,100.0
23,94,32,100.0,90,36,100.0
24,97,24,100.0,97,24,100.0
25,93,25,100.0,60,34,100.0
26,34,26,100.0,114,27,100.0
27,39,34,100.0,32,24,100.0
28,70,25,100.0,71,26,100.0
29,113,24,100.0,108,39,100.0
30,68,23,100.0,50,28,100.0
31,47,28,100.0,121,29,100.0
32,40,24,100.0,40,24,100.0
33,29,29,100.0,56,28,100.0
34,31,24,100.0,116,26,100.0
35,113,27,100.0,92,36,100.0
36,70,29,100.0,85,36,100.0
37,54,27,100.0,96,40,100.0
38,98,28,100.0,89,34,100.0
39,45,27,100.0,55,24,100.0
40,109,24,100.0,51,32,100.0
41,77,23,100.0,66,38,100.0
42,30,24,100.0,87,26,100.0
43,77,28,100.0,100,40,100.0
44,78,24,100.0,60,32,100.0
45,103,25,100.0,29,36,100.0
